Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Personalized Bookmark With Name,Bookmark for Her,Gift for Book Lovers,Custom Party Favors,Maid of Honor Gift,Bridal Party Favors ","Books, Movies & Music > Books > Book Accessories > Bookmarks",6.55,5857,5866,369,245,5778,2625,"Custom Name Bookmark,Bookmark With Name,Leather Book Mark,Gifts for Readers,Christmas Gift,Bridesmaid Gift,Birthday Gift,Thank You Gift,Bridal Party Favors,Wedding Party Favors,Gift for Her,Personalized Gift,Leather Page Mark,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Birthday Gifts,Christmas Gifts,Gifts for Her,Personalized Gifts,Gifts",United States,2023-10-11,yes,no,no,SusanPrints,https://www.etsy.com/listing/1585695743/personalized-bookmark-with-namebookmark,Upgrade Pro to Unlock
"Personalized New Home Photo Ornament, Custom House Address Ornament, Housewarming Gift, Realtor Client Gift, Couples Home Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,12.48,2492,12687,2151,19,5811,35,"Christmas Ornament,Personalized Gift,Custom Ornament,Christmas Keepsake,Couples Ornament,New Home Ornament,New Home Owners Gift,Realtor Client Gift,Home Sweet Home,New Address Ornament,New Home Christmas,Couple Home Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2021-11-03,yes,no,no,LoveSuna,https://www.etsy.com/listing/1099602196/personalized-new-home-photo-ornament,Upgrade Pro to Unlock
"Custom Mama Sweatshirt with Kid Name on Sleeve, Personalized Mom Sweatshirt, Gift Momma Sweatshirt, Christmas Gift for Mom, Gift for Her ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,12.6,2191,3360,335,217,3323,1166,"Custom Mom Sweater,Custom Mama Shirt,Mom Sweatshirt,Gift for Mom,Personalized Mama,Hoodies and Sweaters,Gift for Her,Momma Sweatshirt,Mom Gift From Kids,Name on Sleeve,Mama Sweatshirt,Mama to Be,Customized for Her,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Christmas Gifts,Gifts for Friends,Gifts for Her,Personalized Gifts,Gifts",United States,2023-10-26,yes,no,no,BigSunApparelCo,https://www.etsy.com/listing/1596574671/custom-mama-sweatshirt-with-kid-name-on,Upgrade Pro to Unlock
"Custom initial Coin Bank,Personalized Letter Piggy Bank,Wooden Name Piggy Bank,Wood Birthday Gift For Kids,Baby Shower Gift,Nursery Decor ",Home & Living > Home Decor > Home Accents > Piggy Banks,19.07,1994,2431,73,9,644,131,"Personalized Bank,Boys Piggy Bank,Wood Gift for Kids,Baby Boy Gift,Letter Bank,Neutral Shower Gift,Wooden Coin Bank,Nursery Decor,Custom Piggy Bank,Kids Room Decor,Birthday Gift,Initial Coin Bank,Wooden Piggy Bank,Baby Gifts,Gifts for Boys,Gifts for Girls,Birthday Gifts,Gifts for Kids,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-11,yes,no,no,KevinSunnye,https://www.etsy.com/listing/1542241425/custom-initial-coin-bankpersonalized,Upgrade Pro to Unlock
"Personalized Gingerbread Family Ornament 2023, 4D Customized Cookie Ornament Gift for Christmas, Custom Family Christmas Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,13.95,1782,4039,554,107,8181,1591,"Family Ornament,Christmas Gifts,Christmas Tree,Personalized Family,Christmas Ornament,Family Christmas,Gift for Christmas,4D Customized,Cookie Ornament,Gingerbread Family,Gingerbread Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-02,yes,no,no,Baienshop,https://www.etsy.com/listing/1543467292/personalized-gingerbread-family-ornament,Upgrade Pro to Unlock
"Custom Comfort Colors Dog TShirt, Retro Dog Shirt, Personalized Pet Shirt, 90s shirt, Women Tee ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,30.49,1564,4192,663,226,9318,1564,"Comfort Colors,Cat Shirt,Dog Mom,Pet Gifts,Pet Portrait,Dog Memorial Gifts,Gift for Her,Custom Shirt,Personalized Tee,Dog Drawing,Dog Remembrance Gift,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Gifts for Her,Gifts for Pets,Personalized Gifts,Gifts",United States,2023-08-22,yes,no,no,SChousebyDaniel,https://www.etsy.com/listing/1549746149/custom-comfort-colors-dog-tshirt-retro,Upgrade Pro to Unlock
"Family Christmas Ornament, Personalized Family Ornament, Family Ornament 2023, Christmas Ornament, Family Tree Ornament, Gift for Family ",Home & Living > Home Decor > Seasonal Decor > Ornaments,36.29,1503,2568,294,177,3580,834,"Newlywed Gift,Married Ornament,Engagement Gift,Engagement Ornament,Couples Gift,Christmas Ornament,Couple Ornaments,Our First Ornament,Housewarming Gift,Family Christmas,Family Ornament,Christmas Tree,Personalized Family,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-20,yes,no,no,MakeAgift12,https://www.etsy.com/listing/1570687681/family-christmas-ornament-personalized,Upgrade Pro to Unlock
"Stanley Name Plate, Stanley Topper, Personalized Stanley Cup, Tumbler Name Tag, Stanley Cup Accessories, Name Tag Stanley H2.0, Name Plate ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,8.99,1486,3639,244,112,2437,567,"Stanley Name Plate,Stanley Topper,Personalized Stanley,Tumbler Name Tag,Stanley Accessories,Name Tag for Stanley,Name Plate,Stanley Cup,Stanley Name Tag,Custom Cups,Bridesmaid Gift,Maid of Honor Gift,Baby Shower Gift,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-01,yes,no,no,LuxHavenMill,https://www.etsy.com/listing/1564309346/stanley-name-plate-stanley-topper,Upgrade Pro to Unlock
"Floral Jewelry Case, Personalized Birth Flower Jewelry Box, Christmas Gifts, Gift for Her, Travel Jewelry Organizer, Birth Month Jewelry Box ",Jewelry > Jewelry Storage > Jewelry Boxes,6.9,1417,2001,235,125,1863,864,"Floral Jewelry Case,Christmas Gifts,Gift for Her,Personalized Gifts,Birth Flower Gift,Cute Jewelry Box,Travel Jewelry Case,Jewelry Organizer,Birth Month Gift,Wild Flower Box,Little Girl Gift,Jewellery Box Gift,Custom Jewelry Box,Gifts for Girlfriend,Gifts for Girls,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Christmas Gifts,Gifts for Her,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-17,yes,no,no,HRLeatherCrafts,https://www.etsy.com/listing/1589775709/floral-jewelry-case-personalized-birth,Upgrade Pro to Unlock
"Custom Mama Sweatshirt with Kid Name on Sleeve, Personalized Mom Sweatshirt, Minimalist Momma Sweater, Christmas Gift for Mom, Gift for Her ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,24.49,1408,7119,1500,233,7322,663,"Mama Sweatshirt,Custom Mom Sweater,Custom Mama Shirt,Mom Sweatshirt,Gift for Mom,Personalized Mama,Hoodies and Sweaters,Gift for Her,Momma Sweatshirt,Mom Gift From Kids,Name on Sleeve,Mama to Be,Customized for Her,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Christmas Gifts,Gifts for Friends,Gifts for Her,Personalized Gifts,Gifts",United States,2023-08-01,yes,no,no,TrendTeesApparel,https://www.etsy.com/listing/1535088081/custom-mama-sweatshirt-with-kid-name-on,Upgrade Pro to Unlock
"Personalized Puppy Picture Ornament, Custom Dog Ornament, Christmas Gifts, Gift For Dog Owners, Gift For Pet Lovers, Christmas Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,9.9,1293,1951,347,210,2677,940,"Custom Dog Ornament,Christmas Gifts,Personalize Ornament,Puppy Ornament,Picture Ornament,Gift for Dog Owners,Gift for Pet Lovers,Christmas Ornament,New Pet Ornament,Acrylic Ornament,Ceramic Ornament,Holiday Ornament,Memorial Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Pets,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-10,yes,no,no,USShoppingLand,https://www.etsy.com/listing/1570896940/personalized-puppy-picture-ornament,Upgrade Pro to Unlock
"Kitty scarf crochet pattern PDF, crochet hat pattern, scarf pattern crochet ",Craft Supplies & Tools,4.11,1268,2819,152,64,3551,917,"Pattern,Crochet Pattern,Crochet Hat Pattern,Crochet Scarf,Scarf,Cathat,Cat,Kitties,Catscarf,Has Pattern,Kittyscarf",United States,2023-11-06,yes,no,no,xallua,https://www.etsy.com/listing/1604682831/kitty-scarf-crochet-pattern-pdf-crochet,Upgrade Pro to Unlock
"Personalised Christmas stocking,3D Christmas Stockings,Custom Stockings With Names,Holiday Stocking for Family,Christmas Gifts 2023 ",Home & Living > Home Decor > Seasonal Decor > Stockings,9.6,1268,2877,79,39,1417,387,"Christmas Stocking,Stockings With Names,Christmas Gifts 2023,3D Stocking,Holiday Stocking,Stocking for Family,Christmas Decor,Holiday Stockings,Family Stockings,Cartoon Stocking,Custom Stocking,Xmas Stocking Kid,Family Holiday Gifts,Christmas Gifts,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-13,yes,no,no,CraftieValley,https://www.etsy.com/listing/1565359799/personalised-christmas-stocking3d,Upgrade Pro to Unlock
Personalized Gifts for Little Boy Girl Name Water Bottle | Custom Engraved Kids Cup 12 oz Stainless Steel | Easter Gifts for Kids Child ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware,12,1229,6049,807,31,2455,332,"Kids Tumbler,Engraved Tumbler,Personalized Gift,Water Bottle,Custom Water Bottle,Flower Girl Gift,Kids Water Bottle,Gift for Kids,Custom Tumbler,Toddler Water Bottle,Kids Cup,Baby Gift,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Kids,Housewarming Gifts,Personalized Gifts,Gifts",United States,2021-12-02,yes,no,no,CustomHappinessShop,https://www.etsy.com/listing/1132597707/personalized-gifts-for-little-boy-girl,Upgrade Pro to Unlock
Matte Black Personalized Engraved .50 Cal or .30 Cal Caliber Ammo Can Storage Box American Flag Groomsmen Gift Box Wedding Father Dad Gift ,Weddings > Gifts & Mementos > Groomsmen Gifts,34.99,1159,11531,2100,40,10491,168,"Groomsmen Gift,Dad,Father,Grandfather,Money Clip,Wallet,Wedding,Wedding Party Gifts,Custom,Engraved,Groomsman,Best Man,Personalizaed,Gifts for Dad,Personalized Gifts,Gifts",United States,2021-11-05,yes,no,no,Daylors,https://www.etsy.com/listing/1100680920/matte-black-personalized-engraved-50-cal,Upgrade Pro to Unlock
"Personalized Leather Toiletry Bag,Leather Dopp Bag,Groomsmen Gift,Christmas Gift For Dad Him,Men's Leather Toiletry Bag,Anniversary Gift ",Bags & Purses > Cosmetic & Toiletry Storage > Cosmetic Bags,14.89,1118,2226,79,33,857,161,"Leather Dopp Bag,Leather Toiletry Bag,Groomsmen Gift,Christmas Gift,Gift for Dad,Gift for Him,Anniversary Gift,Leather Dopp Kit,Gift for Boyfriend,Gift for Husband,Best Man Gift,Men's Travel Bag,Monogram Wash Bag,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Christmas Gifts,Gifts for Her,Gifts for Him,Personalized Gifts,Gifts",United States,2023-09-19,yes,no,no,JPFanShop,https://www.etsy.com/listing/1555682876/personalized-leather-toiletry-bagleather,Upgrade Pro to Unlock
"Birth Flower Jewelry Travel Case, Birth Month Flower Gift, Personalized Birthday Gift, Leather Jewelry Travel Case, Custom Jewelry Case ",Jewelry > Jewelry Storage > Jewelry Boxes,4.5,1085,49482,12399,516,65207,1968,"Travel Jewelry Case,Jewelry Travel Case,Travel Case,Custom Jewelry Case,Birth Flower Gift,Birth Month Flower,Gift for Her,Engraved Travel Case,Birthday Gift,Jewelry Case,Travel Jewelry Box,Jewelry Box,Travel Case for Her,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Her,Housewarming Gifts,Personalized Gifts,Gifts",United States,2022-09-22,yes,no,no,JosephCustomProducts,https://www.etsy.com/listing/1296124062/birth-flower-jewelry-travel-case-birth,Upgrade Pro to Unlock
Custom Pet Pillow Dog Throw Pillow | 3D Pillow by Pet Photo Pet Cat Pillow Custom | Personalized Pet Pillow ,Home & Living > Home Decor > Throw Pillows,9.99,1075,6440,1692,58,10620,1897,"Custom Pet Pillow,Pillow by Pet Photo,Pet Pillow From,Photo Pillow,Pet Pillow Custom,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Pets,Housewarming Gifts,Personalized Gifts,Gifts",United States,2022-12-19,yes,no,no,Knilata,https://www.etsy.com/listing/1374600097/custom-pet-pillow-dog-throw-pillow-3d,Upgrade Pro to Unlock
"Knitted Christmas Stockings with a pom pom,2023 Embroidered Christmas Stocking with Name,Family Stockings Monogram Christmas Stockings Gifts ",Home & Living > Home Decor > Seasonal Decor > Stockings,5.18,1028,1591,158,97,1620,301,"Christmas Stocking,Christmas Stockings,Knitted Stockings,Knitted Stocking,Stocking With Name,Family Stockings,Family Stocking,Christmas Gifts,Christmas Gift,Pom Pom,Christmas Gifts,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-19,yes,no,no,BycrafterStore,https://www.etsy.com/listing/1591120035/knitted-christmas-stockings-with-a-pom,Upgrade Pro to Unlock
"Never Forget The Difference You Make, Thank You Gift, Midwife Gift, Ceramic Heart, Friend Gift, Appreciation Gift, Appreciation Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,54.95,983,1306,43,32,1063,383,"Heart Ornaments,Ceramic Heart,Special Gift,Unique Gift,Birthday,Appreciation,Thank You,Mentor,Police,Midwife,Personalised,Never Forget,Difference You Make,Anniversary Gifts,Birthday Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-12,yes,no,no,FramedCanvasPainting,https://www.etsy.com/listing/1586355443/never-forget-the-difference-you-make,Upgrade Pro to Unlock
Name Decals / Custom Name Decals / Vinyl Name Decals / Custom Decals / Yeti Name Decals / Wedding Decals / Name Stickers / Yeti Sticker ,"Paper & Party Supplies > Paper > Stickers, Labels & Tags",1.12,983,52278,7833,34,9334,0,"Water Bottle Decal,Custom Name Decals,Vinyl Name Decals,Custom Vinyl Decal,Custom Name Stickers,Tumbler Name Decal,Yeti Decals,Tumbler Decals,Personalized Decal,Vinyl Name Sticker,Vinyl Decals,Wedding Decals,Yeti Name Decals,Personalized Gifts",United States,2017-05-04,yes,no,no,AFewOriginals,https://www.etsy.com/listing/514887146/name-decals-custom-name-decals-vinyl,Upgrade Pro to Unlock
"Personalized Christmas Stockings,Cable Knit Stocking Pom Pom,Stocking for Holiday Decoration,Family Stockings Monogram Stockings Gift ",Home & Living > Home Decor > Seasonal Decor > Stockings,6.53,970,1958,162,50,1770,265,"Personalize Stocking,Christmas Stockings,Cable Knit Stocking,Holiday Decoration,Family Stockings,Monogram Stockings,Name Stockings,Christmas Decor,Monogram Stocking,Christmas Gifts,Stocking for Holiday,Stockings Gift,Christmasfamily Gift,Christmas Gifts,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-12,yes,no,no,SkyfullArtShop,https://www.etsy.com/listing/1564772773/personalized-christmas-stockingscable,Upgrade Pro to Unlock
"Christmas 2023 Ornament, Christmas Decoration, Holiday Gift Idea, Heirloom Keepsake, Round Ceramic, Gift Exchange, Gift Idea, Xmas Tree ",Home & Living > Home Decor > Seasonal Decor > Ornaments,14.98,878,2637,508,158,6081,694,"Christmas 2023,Christmas Ornament,Round Ceramic,Holiday Decor,Tree Decoration,Christmas Tree,Stained Glass,Beautiful Gift,Gift Exchange,2023 Ornament,Gift Idea,Special Gift,Includes String,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-12,yes,no,no,MugzyMugz,https://www.etsy.com/listing/1564489159/christmas-2023-ornament-christmas,Upgrade Pro to Unlock
"Fourth Wing Sweatshirt, Basgiath War College, Dragon Rider, Violet Sorrengail, Xaden Riorson, Riders Quadrant, Fantasy reader, Bookish Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,37.99,856,2600,402,116,3408,708,"Fourth Wing Shirt,Fourth Wing Merch,Basgiath War College,Romantasy,Wing Leader,Dragon Rider,Fourth Wing Xaden,Violet Sorrengail,Gifts for Readers,Bookish Sweatshirt,YA Fantasy Books,Fourth Wing Pants,Personalized Gifts,Gifts",United States,2023-09-09,yes,no,no,OrangeCuteTees,https://www.etsy.com/listing/1548199002/fourth-wing-sweatshirt-basgiath-war,Upgrade Pro to Unlock
Dainty Initial Tag Necklace by Caitlyn Minimalist • Custom Engraved Letter Pendant Necklace in Box Chain • Bridesmaid Gifts • NM83bNIF33 ,Jewelry > Necklaces > Pendant Necklaces,28,837,11306,2338,0,27683,408,"CAITLYN MINIMALIST,NAME NECKLACE,INITIAL NECKLACE,GIFT FOR HER,PERSONALIZED GIFTS,BEST FRIEND GIFT,LETTER NECKLACE,CHARM NECKLACE,BAR NECKLACE,BRIDESMAID GIFTS,DAINTY NECKLACE,ENGRAVED NECKLACE,CUSTOM NECKLACE,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Friends,Gifts for Her,Gifts for Him,Housewarming Gifts,Personalized Gifts,Gifts",United States,2022-09-12,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1303426333/dainty-initial-tag-necklace-by-caitlyn,Upgrade Pro to Unlock
"It's a Beaut Clark Sweatshirt, Griswold Christmas Sweatshirt, Funny Christmas Shirt, Christmas Vacation Shirt, Christmas Crewneck, Xmas Tee ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,8,829,3032,459,164,4637,772,"Clark Griswold,Funny Christmas,Christmas Movie,Christmas Sweatshirt,Christmas Shirt,Womens Christmas,Christmas Sweater,New Year Shirt,Christmas Gift,Holiday Sweater,You Serious Clark,It's a Beaut Clark,Christmas Gifts,Personalized Gifts,Gifts",United States,2023-10-07,yes,no,no,TeeShirtApparel,https://www.etsy.com/listing/1568527206/its-a-beaut-clark-sweatshirt-griswold,Upgrade Pro to Unlock
Pink Deluxe Rolling Kit | 1-1/4 ,Art & Collectibles > Collectibles > Tobacciana,3.99,823,826,218,7,1606,27,"Rolling Paper Kit,Herb,Wrap,Smoking Accessories,Rolling Paper,All in One,Rolling Accessories,Pink Papers,Pink,Cute Papers,Travel Rolling Kit,King Size Slim Kit",United States,2023-02-23,yes,no,no,BlazySusan,https://www.etsy.com/listing/1409425382/pink-deluxe-rolling-kit-1-14,Upgrade Pro to Unlock
"100Pcs White Letter Beads, Bright Acrylic ABC Letter Name Bead Kit, Round Plastic Alphabet Beads with Hole for Necklace Bracelet DIY Jewelry ",Craft Supplies & Tools,0.95,821,1236,160,6,360,7,"Letter Beads,Letter Beads Kit,Letter Bead Keychain,Black Letter Beads,Letter Bead Bracelet,Letter Bead Necklace,DIY Jewelry Beads,Jewelry Accessories,Alphabet Beads,Initial Beads,Tiny Letter Beads,Bright Letter Beads,ABC Letter Beads,Personalized Gifts",United States,2023-06-16,yes,no,no,NUOMIhandmade,https://www.etsy.com/listing/1504803631/100pcs-white-letter-beads-bright-acrylic,Upgrade Pro to Unlock
"Funny Christmas Shirts, Family Christmas Shirts, Christmas Party Shirts, Most Likely to, Christmas Gift Funny, Matching Christmas Shirts ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,8.98,800,5750,907,37,2665,60,"Family Christmas,Christmas Shirt,Most Likely to Shirt,Most Likely To,Funny Christmas,Matching Christmas,Custom Christmas,Christmas Group,Family Shirt,Funny Family Shirt,Christmas Tshirts,Family Tshirts,Christmas Party,Christmas Gifts,Personalized Gifts,Gifts",United States,2021-11-18,yes,no,no,EventDazzle,https://www.etsy.com/listing/1123113301/funny-christmas-shirts-family-christmas,Upgrade Pro to Unlock
Custom Baby Beanie Toddler Hat Kids Youth Child Infant Newborn Gift Name Hat Engraved Leather Patch Beanie Personalized Baby Gift Slouchy ,Accessories > Hats & Caps > Winter Hats > Skull Caps & Beanies,6.79,790,1527,119,48,978,254,"Winter Beanie,Baby Boy Gift,Toddler Beanie,Newborn Beanies,Leather Patch Beanie,Beanies for Babies,Baby Hat With Name,Baby Shower Gifts,Newborn Baby Beanies,Newborn Baby Gift,Baby Beanie,Baby Boy Has,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girls,Gifts for Husband,Gifts for Him,Gifts for Kids,Personalized Gifts,Gifts",United States,2023-09-28,yes,no,no,StefanDesignArts,https://www.etsy.com/listing/1562540612/custom-baby-beanie-toddler-hat-kids,Upgrade Pro to Unlock
"Personalized Knit Christmas Stocking, Embroidered Family Stockings, Monogram Holiday Stocking with Name, Holiday Decoration, Christmas Gifts ",Home & Living > Home Decor > Seasonal Decor > Stockings,6.38,780,1680,164,51,771,37,"Christmas Stockings,Holiday Stockings,Embroidered Stocking,Knitted Stocking,Name Stocking,Monogram Stocking,Family Stockings,Christmas Gift,Traditional Stocking,Custom Stocking,Christmas Tree Decor,Christmas Decoration,Holidy Decoration,Christmas Gifts,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-24,yes,no,no,oceanshopMY,https://www.etsy.com/listing/1537220360/personalized-knit-christmas-stocking,Upgrade Pro to Unlock
Personalized Hand Embroidered Felt Backing Corner Bookmark - 26 Letters and 4 Seasons - Felt Triangle Page Stitched Corner Bookmark ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",4.55,776,2855,562,60,2528,610,"Handmade Bookmark,Embroidery Bookmark,Gift for Her,Christmas Gift,Birthday Gift,Embroidery Book,Custom Bookmarks,Book Lovers Decor,Bookmark,Personalized Gift,Corner Bookmark,Stocking Stuffers,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Birthday Gifts,Christmas Gifts,Gifts for Her,Personalized Gifts,Gifts",United States,2023-08-17,yes,no,no,EVERYBLE,https://www.etsy.com/listing/1546341881/personalized-hand-embroidered-felt,Upgrade Pro to Unlock
"2023 Custom Christmas Stockings,Knit Christmas Stockings,Embroidered stockings,Family Stockings,Monogram Stockings,Holiday Stockings Gifts ",Home & Living > Home Decor > Seasonal Decor > Stockings,5.37,768,1977,165,49,1317,259,"Christmas Stockings,Christmas Gift,Christmas 2023,Knitted Stockings,Family Stockings,Monogram Stockings,Embroidery Stockings,Gift for Her,Gift for Him,Holiday Decor,Holiday Stockings,Christmas Decor,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Christmas Gifts,Gifts for Friends,Gifts for Her,Gifts for Him,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-12,yes,no,no,MultiBySamson,https://www.etsy.com/listing/1564930823/2023-custom-christmas-stockingsknit,Upgrade Pro to Unlock
"Surprise Song Piano Ornament | Eras Tour 2023 Custom Wood Ornament | Custom Eras Tour Ornament | Floral Piano Ornament, Christmas Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,18,756,1919,200,84,5243,555,"Eras Tour Gift,Custom Ornament,Custom Eras Tour,Surprise Songs,Eras Ornament,Wood Ornament,Eras Tour Merch,Ornament Gift,Eras Tour Ornament,Surprise Song Piano,Stocking Stuffer,Secret Santa,Christmas Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-21,yes,no,no,GemSpeldBckwrds,https://www.etsy.com/listing/1578136474/surprise-song-piano-ornament-eras-tour,Upgrade Pro to Unlock
"Christmas Stockings With Name,Christmas Leather Patch Stocking,2023 Family Christmas Stockings,Holiday Stockings,Knitted Christmas Stockings ",Home & Living > Home Decor > Seasonal Decor > Stockings,7,756,3307,162,37,1784,129,"Christmas Stockings,2023 Stockings,Family Stockings,Leather Patch,Knitted Stockings,Holiday Stockings,Stocking With Names,Christmas Decor,Monogram Stockings,Name Stockings,Christmas Gift 2023,Cable Knit Stocking,Tradition Stockings,Baby Gifts,Gifts for Boys,Gifts for Girls,Christmas Gifts,Gifts for Friends,Gifts for Kids,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-11,yes,no,no,KevinSunnye,https://www.etsy.com/listing/1563931973/christmas-stockings-with-namechristmas,Upgrade Pro to Unlock
Bro Shower Steamers | 6 pack | Aromatherapy | Gift for him | Father's Day Gift | Dad Gift | husband gift | spa | Handmade gift ,Bath & Beauty > Spa & Relaxation > Aromatherapy,12.71,744,2473,421,18,1817,170,"Gift for Men,Man Gift,Essential Oil,Sinus Relief,Menthol,Eucalyptus,Shower Steamers,Spa Gift,Lush,Shower Bomb,Fathers Day,Fathers Day Gift,Gifts for Boyfriend,Gifts for Dad,Gifts for Husband,Gifts for Him,Gifts",United States,2022-10-19,yes,no,no,RelaxAwayEssentials,https://www.etsy.com/listing/1314590902/bro-shower-steamers-6-pack-aromatherapy,Upgrade Pro to Unlock
"Custom Christmas Ornaments Decoration with Light, Santa Claus Lantern, Christmas Lamp Ornament, Desktop Decoration, Holiday Party Home Decor ",Home & Living > Home Decor > Seasonal Decor > Ornaments,11.62,737,1117,131,84,2744,575,"Santa Claus Lantern,Desktop Decoration,Holiday Party Decor,Christmas Lamp,LED Ornaments,Christmas Tree Decor,Best Holiday Gift,Xmas Party Decor,Holiday Decor Wood,LED Table Lanterns,Tabledecor Christmas,Christmas Gifts,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-29,yes,no,no,KarinaViewsLims,https://www.etsy.com/listing/1554885155/custom-christmas-ornaments-decoration,Upgrade Pro to Unlock
Large Ornaments Boxes - Laser Cut Files - SVG+DXF+PDF+Ai - Glowforge Files - Instant Download ,Craft Supplies & Tools,5,736,3175,268,14,2850,68,"Laser Cut Files,Laser Cut File,Laser Cut Files Svg,Glowforge,Glowforge Files,Glowforge Svg Files,Cnc Files,Cnc Files for Wood,Laser Cut Christmas,Ornaments Boxes,Christmas Ornaments,Glowforge Ornaments,Chrismtas Files,Christmas Gifts",United States,2021-10-13,yes,no,no,LasercolDesigns,https://www.etsy.com/listing/1086912286/large-ornaments-boxes-laser-cut-files,Upgrade Pro to Unlock
