"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","area","rank","percent"
"72","Puerto Rico",919.5967,3180885,3221789,3281557,3325980.2,3725789,-0.0127,-40904,-0.14625,3459,1,0.824982493451254
"11","District of Columbia",11062.54098,674815,671803,670868,663953.5,601723,0.00448,3012,0.12147,61,2,0.175017506548746
